pickup_hour,day,distance_km,passenger_count,payment_type,fare,tip
23,Wed,7.26,1,cash,20.83,0.18
10,Thu,2.95,1,cash,9.78,0.75
19,Tue,1.59,4,card,8.15,1.58
5,Wed,2.07,1,card,8.46,1.13
15,Sat,1.93,1,card,11.29,1.87
19,Tue,1.49,1,card,7.85,1.77
21,Mon,3.17,4,card,10.37,1.98
19,Thu,1.53,1,card,9.78,1.08
3,Tue,0.91,1,card,7.27,1.21
9,Wed,2.44,4,card,9.26,1.36
4,Thu,1.11,1,card,5.49,1.08
6,Thu,1.99,4,card,7.31,1.4
17,Fri,1.82,1,cash,9.67,0.34
18,Fri,1.86,2,card,8.95,1.71
18,Sat,9.03,1,card,28.09,5.91
19,Mon,3.1,1,card,10.55,2.27
18,Wed,3.44,3,card,14.12,1.54
19,Mon,1.13,1,card,6.12,0.89
4,Mon,2.1,4,card,7.1,1.16
8,Tue,3.38,1,card,10.55,1.34
17,Fri,1.71,2,card,11.15,1.82
19,Sun,4.95,4,card,18.38,2.03
0,Sat,1.55,1,card,8.61,1.01
13,Fri,2.57,3,cash,7.99,0.17
17,Sat,2.18,1,cash,14.79,0.12
2,Tue,3.29,2,card,6.86,1.42
10,Sat,2.11,1,card,9.44,1.01
20,Sun,2.59,1,card,14.98,2.76
17,Mon,2.64,2,card,11.52,1.83
8,Thu,2.01,1,card,6.09,1.34
19,Sat,3.92,1,card,16.57,3.61
9,Thu,3.43,1,card,10.63,1.66
19,Sat,2.86,3,card,15.31,2.96
8,Sun,2.37,1,card,13.42,1.8
16,Thu,4.66,2,cash,13.72,0.04
10,Mon,2.64,4,cash,8.16,0.56
8,Wed,2.54,1,card,9.53,1.57
20,Tue,3.18,1,card,9.16,1.17
7,Thu,7.64,2,card,18.57,4.32
5,Fri,1.44,1,cash,4.06,0.24
9,Thu,4.59,1,card,11.22,2.12
18,Tue,1.06,2,card,6.26,0.96
19,Wed,3.39,1,card,11.04,1.58
23,Fri,7.14,1,cash,19.08,0.38
8,Mon,3.93,2,card,10.21,2.42
10,Tue,3.3,1,card,6.49,1.43
7,Sun,2.21,1,card,9.61,1.15
15,Mon,3.06,1,card,9.17,1.94
23,Wed,2.62,3,card,8.04,1.31
18,Tue,1.95,2,card,11.11,1.14
16,Mon,2.56,1,card,7.9,1.42
9,Wed,3.35,1,card,11.43,1.37
21,Thu,1.97,1,card,7.31,0.96
13,Tue,1.93,1,cash,7.2,0.69
7,Mon,1.42,1,card,5.12,0.71
9,Mon,3.72,4,card,11.11,2.6
5,Fri,4.05,1,card,10.99,2.18
7,Sun,3.41,2,card,13.71,3.08
1,Tue,5.11,1,card,13.96,2.68
11,Wed,3.15,1,cash,8.8,0.53
17,Wed,3.73,1,card,14.4,2.22
9,Wed,3.55,1,cash,11.32,0.61
10,Tue,2.86,2,cash,8.75,0.43
22,Mon,2.24,4,card,8.1,1.91
18,Thu,10.15,3,card,27.23,3.4
14,Wed,2.34,1,card,7.11,1.33
8,Wed,2.08,2,card,7.66,1.63
20,Tue,3.81,1,card,10.64,1.65
8,Sun,3.45,3,card,12.46,2.87
9,Fri,1.39,1,card,4.11,0.64
20,Wed,5.57,1,card,14.82,1.87
14,Tue,2.85,1,cash,9.95,0.18
18,Sat,1.63,1,card,10.75,1.75
16,Sun,5.78,1,cash,21.74,0.26
17,Mon,4.24,3,card,15.39,1.7
8,Sun,1.5,2,card,10.87,1.41
8,Fri,7.98,4,card,21.51,4.63
9,Mon,4.32,1,card,14.73,3.44
7,Sat,2.99,1,card,11.63,2.11
19,Mon,7.2,1,cash,17.77,0.69
8,Mon,3.28,1,card,9.68,1.74
15,Mon,2.96,1,card,10.18,2.32
19,Thu,2.09,1,card,9.78,2.08
18,Fri,4.14,1,card,14.44,2.07
11,Wed,3.9,1,card,13.17,1.56
12,Mon,3.03,1,card,10.12,2.38
23,Tue,1.95,2,card,8.25,1.88
17,Sat,3.23,1,card,13.98,1.51
19,Sun,2.89,3,card,13.04,2.92
20,Sat,1.44,1,cash,11.1,0.11
18,Mon,1.34,2,card,8.07,0.88
7,Sat,4.1,2,card,14.27,3.05
15,Fri,0.72,2,cash,3.84,0.73
6,Thu,3.36,2,card,9.61,1.56
17,Tue,2.31,3,card,9.23,2.17
22,Sun,6.17,1,cash,18.03,0.22
13,Thu,2.29,1,cash,6.24,0.11
11,Mon,4.32,1,cash,12.27,0.01
2,Tue,2.41,1,card,7.59,1.64
22,Wed,3.2,1,cash,11.37,0.26
6,Mon,4.51,1,card,13.27,3.28
3,Wed,2.33,1,cash,8.44,0.11
8,Thu,5.2,1,cash,13.55,0.99
5,Sun,1.74,1,cash,9.68,0.13
12,Mon,3.53,1,card,11.2,2.51
14,Fri,4.99,2,card,14.84,3.7
9,Sun,4.32,2,card,15.39,1.77
4,Sat,8.62,1,card,26.26,3.02
6,Sun,1.97,1,card,10.34,2.22
9,Tue,1.41,1,cash,7.05,0.27
4,Sat,1.74,1,card,9.24,1.02
18,Sun,4.32,2,card,15.33,3.58
7,Wed,3.95,1,card,12.01,2.64
8,Thu,3.18,4,card,10.87,2.52
10,Thu,1.62,1,card,7.25,1.43
10,Thu,4.58,2,card,13.58,2.02
0,Wed,1.53,1,cash,5.95,0.2
6,Sun,5.68,1,cash,17.53,0.7
19,Sun,14.46,2,card,40.47,5.72
0,Wed,3.67,1,card,11.59,2.7
13,Sat,4.14,2,card,14.43,2.92
13,Wed,2.29,1,cash,9.37,0.58
9,Sat,1.11,1,cash,7.38,0.79
11,Fri,2.16,1,card,7.05,1.71
18,Thu,1.65,2,cash,10.59,0.12
19,Mon,1.36,1,card,9.03,1.81
8,Fri,7.75,3,card,19.62,4.65
9,Wed,3.49,2,cash,11.02,0.39
8,Tue,3.7,2,card,11.33,2.36
12,Tue,2.53,1,card,5.27,1.03
17,Sun,2.73,2,card,12.92,2.82
8,Mon,5.11,4,card,14.18,3.33
9,Sat,2.95,1,card,12.06,2.44
21,Sun,4.02,1,card,15.14,1.67
4,Mon,2.7,1,card,10.3,1.31
12,Fri,2.49,1,card,8.09,1.97
18,Fri,1.39,2,cash,6.79,0.92
7,Wed,1.01,1,card,5.61,1.38
3,Fri,2.6,1,cash,8.33,0.66
7,Wed,3.1,1,card,9.63,1.52
21,Thu,1.48,1,card,5.91,1.26
0,Thu,2.95,1,card,12.18,2.59
7,Sat,3.09,3,cash,10.11,0.52
2,Fri,0.92,1,card,4.56,0.87
6,Wed,1.82,1,cash,7.0,0.6
17,Sun,3.76,2,card,15.33,2.67
8,Sat,3.72,1,card,15.26,2.07
15,Sun,1.59,1,card,10.47,1.13
16,Sat,3.28,1,card,13.16,1.47
19,Wed,5.27,4,card,16.27,3.85
0,Sat,4.61,2,card,16.01,3.39
19,Wed,2.85,1,card,11.14,2.67
17,Tue,2.32,1,card,10.01,1.71
7,Thu,2.13,1,card,7.46,1.21
18,Sun,3.89,2,card,16.86,2.59
19,Thu,3.34,1,card,13.25,2.55
8,Wed,4.25,3,card,10.87,1.66
21,Thu,3.23,2,card,8.85,1.88
11,Wed,4.71,1,card,11.26,2.48
16,Fri,3.16,2,card,10.99,2.54
23,Wed,4.63,4,cash,13.49,0.51
9,Thu,4.85,1,card,14.28,2.56
19,Wed,1.93,2,card,7.53,1.01
9,Wed,1.11,3,cash,7.58,0.14
19,Sun,7.02,1,card,22.71,4.68
16,Wed,3.46,3,card,10.81,1.97
8,Mon,1.17,1,cash,6.6,0.04
10,Wed,2.03,2,cash,6.28,0.46
9,Thu,4.59,2,cash,12.44,0.66
5,Mon,2.58,1,card,8.89,2.21
2,Wed,2.27,1,card,11.42,1.94
9,Tue,6.49,1,cash,17.64,0.82
1,Thu,1.69,1,cash,8.65,0.22
7,Sat,1.94,1,card,11.71,2.47
18,Sun,3.37,1,card,15.86,3.68
18,Wed,3.72,1,card,12.0,2.67
18,Sun,3.95,1,card,17.96,3.98
9,Tue,4.96,1,card,12.11,2.05
20,Sat,3.35,3,card,15.29,3.41
16,Thu,3.93,1,card,11.89,2.42
7,Sat,2.61,1,card,8.56,1.03
7,Sat,3.11,1,card,12.43,1.46
17,Thu,3.19,1,card,12.8,2.76
7,Tue,3.38,2,card,10.15,1.97
13,Thu,4.59,1,card,13.96,2.48
23,Sat,4.08,1,cash,13.96,0.12
0,Sun,3.08,4,card,11.21,2.23
1,Sun,1.93,2,card,10.16,1.62
23,Tue,3.12,2,card,9.9,1.6
16,Fri,2.96,3,card,9.09,1.73
7,Mon,3.34,3,card,11.82,2.53
20,Fri,10.11,1,card,24.22,4.47
20,Sun,2.25,1,card,11.33,2.0
14,Mon,3.79,1,card,11.42,2.39
17,Fri,5.41,1,card,15.03,3.09
8,Sun,3.17,1,card,11.39,2.56
4,Sat,10.87,1,card,29.93,3.27
16,Wed,2.44,2,card,10.75,2.29
8,Mon,3.59,2,card,11.59,2.05
17,Sun,1.94,2,card,10.2,1.13
19,Sun,2.48,1,card,9.72,1.96
1,Fri,3.44,1,card,11.45,2.38
16,Sun,4.78,1,card,16.4,2.93
8,Mon,3.58,1,cash,12.25,0.84
19,Fri,6.0,3,cash,17.14,0.74
8,Mon,2.85,3,cash,9.69,0.84
17,Sun,2.5,3,card,14.52,2.22
15,Fri,13.29,3,card,31.7,5.12
10,Sun,3.73,4,card,13.69,2.8
17,Thu,2.02,1,card,9.47,2.15
18,Mon,2.05,1,card,10.16,2.11
15,Mon,1.79,1,card,6.92,0.87
18,Wed,5.03,1,card,17.23,2.67
23,Sat,2.46,1,card,10.86,1.34
10,Tue,3.22,1,card,8.49,1.72
13,Sat,2.9,4,cash,14.75,0.28
1,Tue,4.49,1,card,12.15,2.17
19,Thu,1.89,4,cash,8.48,0.58
14,Tue,1.66,2,card,6.57,1.32
10,Thu,3.4,2,card,10.56,1.53
6,Thu,4.18,2,card,11.73,1.76
20,Mon,3.61,1,card,10.92,2.16
10,Thu,1.92,2,card,7.18,1.31
17,Sat,4.36,1,card,17.8,2.04
7,Sun,2.0,3,card,7.57,1.75
22,Wed,2.26,1,card,10.23,1.81
7,Sun,1.79,1,card,9.76,1.67
7,Sun,6.14,2,cash,20.2,0.33
19,Sun,4.26,2,card,15.72,2.46
21,Wed,4.19,1,card,11.65,1.75
8,Sat,5.97,2,card,18.33,2.58
12,Thu,14.11,1,card,35.81,6.63
18,Mon,1.17,2,card,6.87,1.16
19,Tue,2.0,1,card,10.31,2.41
9,Fri,2.14,1,cash,6.93,0.61
14,Tue,1.88,1,card,6.59,0.88
18,Thu,1.66,1,card,8.36,0.96
18,Sat,2.55,1,card,15.15,3.3
18,Tue,1.54,1,cash,6.12,0.02
15,Thu,3.61,1,cash,9.36,0.27
6,Tue,3.09,1,cash,7.46,0.78
20,Thu,3.91,1,card,10.3,1.42
19,Tue,3.97,1,card,12.76,1.36
19,Sun,4.19,2,card,15.28,3.41
6,Mon,2.45,4,cash,7.51,0.8
7,Sun,9.65,1,card,24.81,4.39
18,Sat,3.42,3,card,14.3,2.62
1,Sat,1.08,1,card,9.82,1.35
23,Sat,1.73,1,card,10.29,1.96
9,Tue,1.15,2,card,5.75,0.6
18,Sun,3.03,2,card,13.46,2.65
20,Fri,2.81,3,card,7.34,1.54
10,Sun,2.32,1,cash,9.74,0.32
9,Sun,9.08,2,card,25.92,3.88
17,Fri,4.06,1,cash,14.97,0.83
16,Wed,4.48,1,card,13.94,2.89
10,Mon,1.8,1,cash,7.72,0.82
16,Mon,1.73,4,card,5.92,0.77
21,Wed,3.07,1,cash,9.78,0.35
12,Sat,3.3,2,card,12.87,1.85
7,Thu,1.08,2,card,5.13,0.6
9,Thu,2.72,2,card,11.43,1.41
10,Tue,3.03,2,card,7.55,0.94
7,Thu,2.67,3,card,8.59,1.47
7,Fri,1.92,1,cash,8.68,0.39
17,Sun,2.23,1,cash,11.15,0.55
9,Sat,2.73,1,card,11.23,2.32
22,Fri,3.16,1,card,9.32,1.32
8,Sun,4.19,1,card,14.95,2.19
6,Wed,5.44,1,cash,13.05,0.38
18,Sun,2.56,1,cash,14.35,0.62
20,Wed,2.34,1,card,8.95,2.18
8,Mon,3.82,1,cash,12.01,0.66
7,Wed,4.2,3,card,11.2,1.19
7,Mon,2.37,1,cash,8.32,0.45
14,Mon,4.64,4,cash,12.13,0.72
